action,index,method,norm_cost,station_name,original,new
match_no_change,0,cost_center,,,,
match_no_change,1,cost_center,,,,
match_no_change,2,cost_center,,,,
match_no_change,3,cost_center,,,,
match_no_change,4,cost_center,,,,
match_no_change,5,cost_center,,,,
match_no_change,6,cost_center,,,,
match_no_change,7,cost_center,,,,
match_no_change,8,cost_center,,,,
match_no_change,9,cost_center,,,,
match_no_change,10,cost_center,,,,
match_no_change,11,cost_center,,,,
match_no_change,12,cost_center,,,,
match_no_change,13,cost_center,,,,
match_no_change,14,cost_center,,,,
match_no_change,15,cost_center,,,,
match_no_change,16,cost_center,,,,
match_no_change,17,cost_center,,,,
match_no_change,18,cost_center,,,,
match_no_change,19,cost_center,,,,
match_no_change,20,cost_center,,,,
match_no_change,21,cost_center,,,,
match_no_change,22,cost_center,,,,
match_no_change,23,cost_center,,,,
match_no_change,24,cost_center,,,,
match_no_change,731,cost_center,,,,
match_no_change,732,cost_center,,,,
match_no_change,733,cost_center,,,,
match_no_change,734,cost_center,,,,
match_no_change,735,cost_center,,,,
match_no_change,736,cost_center,,,,
match_no_change,737,cost_center,,,,
match_no_change,738,cost_center,,,,
match_no_change,739,cost_center,,,,
match_no_change,740,cost_center,,,,
match_no_change,741,cost_center,,,,
match_no_change,742,cost_center,,,,
match_no_change,743,cost_center,,,,
match_no_change,744,cost_center,,,,
match_no_change,745,cost_center,,,,
match_no_change,746,cost_center,,,,
match_no_change,747,cost_center,,,,
match_no_change,748,cost_center,,,,
match_no_change,749,cost_center,,,,
no_match,750,,1110615,,,
no_match,751,,1110615,,,
no_match,752,,1110615,,,
no_match,753,,1110615,,,
no_match,754,,1110615,,,
no_match,755,,1110615,,,
no_match,756,,1110615,,,
no_match,757,,1110615,,,
no_match,758,,1110615,,,
no_match,759,,1110615,,,
no_match,760,,1110615,,,
no_match,761,,1110615,,,
no_match,762,,1110615,,,
no_match,763,,1110615,,,
no_match,764,,1110615,,,
no_match,765,,1110615,,,
no_match,766,,1110615,,,
no_match,767,,1110615,,,
no_match,768,,1110615,,,
no_match,769,,1110615,,,
no_match,770,,1110615,,,
no_match,771,,1110615,,,
no_match,772,,1110615,,,
no_match,773,,1110615,,,
no_match,774,,1110615,,,
match_no_change,775,cost_center,,,,
match_no_change,776,cost_center,,,,
match_no_change,777,cost_center,,,,
match_no_change,778,cost_center,,,,
match_no_change,779,cost_center,,,,
match_no_change,780,cost_center,,,,
match_no_change,781,cost_center,,,,
match_no_change,782,cost_center,,,,
match_no_change,783,cost_center,,,,
match_no_change,784,cost_center,,,,
match_no_change,785,cost_center,,,,
match_no_change,786,cost_center,,,,
match_no_change,787,cost_center,,,,
match_no_change,788,cost_center,,,,
match_no_change,789,cost_center,,,,
match_no_change,790,cost_center,,,,
match_no_change,791,cost_center,,,,
match_no_change,792,cost_center,,,,
match_no_change,793,cost_center,,,,
match_no_change,794,cost_center,,,,
match_no_change,795,cost_center,,,,
match_no_change,796,cost_center,,,,
match_no_change,797,cost_center,,,,
match_no_change,798,cost_center,,,,
match_no_change,799,cost_center,,,,
no_match,800,,1110287,,,
no_match,801,,1110287,,,
no_match,802,,1110287,,,
no_match,803,,1110287,,,
no_match,804,,1110287,,,
no_match,805,,1110287,,,
no_match,806,,1110287,,,
no_match,807,,1110287,,,
no_match,808,,1110287,,,
no_match,809,,1110287,,,
no_match,810,,1110287,,,
no_match,811,,1110287,,,
